"""","家計外消費支出(列)","民間消費支出","一般政府消費支出","県内総固定資本形成公的","県内総固定資本形成民間","在庫純増","調整項","移輸出","合計"
"01 農林水産業","0.005890276290169827","0.11515685871983632","0.005381494046672676","0.0012848966539204117","0.008329064669680461","0.007401492946480815","3.9845072290614083E-4","0.8561574659503334","1.0"
"06 鉱業","4.888463343419801E-4","0.022509172717526355","0.0034007099605097087","0.002116073748162663","0.002570584353603166","0.012106331468934523","9.160375740127376E-4","0.9558922438429088","1.0"
"11 飲食料品","0.013101670248969513","0.26719274042999935","0.007386296259128284","6.63355214807266E-5","1.5289044996785988E-4","0.002447500702561861","4.832697338269451E-4","0.7091692966540655","1.0"
"15 繊維製品","0.0010498481188025578","0.03470273478307139","0.003065092152342131","6.887641365758193E-4","0.0038477213515821463","-4.6375612987520197E-4","0.012310563932629737","0.9447990316548713","1.0"
"16 パルプ・紙・木製品","0.004647642537546697","0.05929447594124447","0.025906575853374036","0.03255822744183996","0.04599696688663709","-4.002492054567497E-4","9.661752629512715E-4","0.8310301852818631","1.0"
"20 化学製品","0.0013312465026759854","0.024454309801411143","0.02729666804301409","0.0010461337962586956","0.0015182311110695946","0.004200727889855667","0.008328390340732532","0.9318242925149822","1.0"
"21 石油・石炭製品","7.549660140268347E-4","0.04624746962278578","0.005545264244606096","0.0033963421701739614","0.004151425207106923","0.011038488391610025","0.0016727039773093543","0.927193340372381","1.0"
"22 プラスチック・ゴム","0.0013318012849757605","0.03390141209305815","0.007649862856546608","0.006250193459105628","0.008782615552408682","-0.001842571931083757","0.004664904283956068","0.9392617824010328","1.0"
"25 窯業・土石製品","0.0020193750379602807","0.03330122116853959","0.012218744192237965","0.09632593365205691","0.10481794437094528","-0.005018306065826997","0.0029210178925094697","0.7534140697515774","1.0"
"26 鉄鋼","1.8240873258014686E-4","0.005898228503627477","0.0023587040141685896","0.008801718117255499","0.009899214585762352","0.02474579727068791","0.0021664931833272876","0.9459474355925908","1.0"
