"""","01 農林 水産業 ","06 鉱業 ","11 飲食料品 ","15 繊維製品 ","16 パルプ ・紙・ 木製品","20 化学製品 ","21 石油・ 石炭製品 ","22 プラスチッ ク・ゴム ","25 窯業・ 土石製品 ","26 鉄鋼 ","27 非鉄金属 ","28 金属製品 ","29 はん用機械 ","30 生産用機械 ","31 業務用機械 ","32 電子部品 ","33 電気機械 ","34 情報・ 通信機器 ","35 輸送機械 ","39 その他の 製造工業 製品","41 建設 ","46 電力・ ガス・ 熱供給","47 水道 ","48 廃棄物処理 ","51 商業 ","53 金融・保険 ","55 不動産 ","57 運輸・郵便 ","59 情報通信 ","61 公務 ","63 教育・研究 ","64 医療・福祉 ","65 その他の 非営利団体 サービス","66 対事業所 サービス ","67 対個人 サービス ","68 事務用品 ","69 分類不明 ","行和 ","感応度 係数 "
"01 農林水産業","1.0899995949294765","0.0016463544535528394","0.2523600114265896","0.013211633090338421","0.0979757309655059","0.01277235417596971","0.0012618006682803377","0.02157646166699512","0.0026111065570165785","0.0015486320331450426","0.004177825871697479","0.001753197866095266","0.002742866449554416","0.002087978377405885","0.0031616495758798437","0.00346747687553386","0.004599465320633448","0.002874113342712688","0.002891824700888108","0.018607703366230646","0.00673542530928199","0.0017178447367590134","0.00252653329749113","0.001632151842980521","0.0020529391351924026","0.0016882776568383964","0.0006106236979169772","0.0015433914730292513","0.0027307431400196707","0.001348086333144653","0.0030257502107922376","0.009272426542705721","0.0060291226865626995","0.0021348215766663348","0.05705488634416408","0.04678928641689183","0.0071305394430676745","1.6953506315570055","0.6892089403203854"
"06 鉱業","0.05961509334872136","1.1031089377156578","0.05114985204218971","0.08079452554461443","0.05251988513739307","0.16465903092791176","0.7434833830021942","0.0773842731163504","0.19657583494173103","0.3103644918007865","0.08400699418298893","0.1416670116121704","0.07130468482184552","0.07638015476785263","0.06459688706374395","0.07485893571047979","0.07191599155936354","0.04810718564290083","0.09609350133438119","0.06686946454685062","0.07903641145633848","0.5694728543079604","0.07198737233740658","0.05616726214504759","0.036443586077911386","0.017853824524142078","0.010177860933610155","0.1337947468563601","0.0250135651709227","0.029017998145248535","0.028589371809187258","0.039355814762118434","0.026149238079077052","0.03242890898993853","0.04604695211465451","0.06007149373590833","0.23235048145884415","5.129413861724804","2.085254711503127"
"11 飲食料品","0.04509566060575338","0.00128253026563547","1.2232501515776733","0.00973825412473543","0.00818256944721781","0.036072791163792625","0.0009821457267413165","0.010619995144887411","0.0025234376282107502","0.0010952113816532496","0.002784224129655593","0.0014653166214066238","0.002023843193895386","0.0014455951301693061","0.0021260938528468547","0.00213725352080561","0.0034608776836048574","0.001691159742709512","0.002534785987099311","0.008568379605842122","0.0016820873899261234","0.0011436080868244304","0.001859541466023103","0.0012134108611566862","0.0010416431178401602","0.0007889303362139448","0.000368605117437176","0.0009312944007475226","0.0024714390633521076","0.0010609917117453303","0.002681750234551484","0.01831835201486663","0.0034312191266655896","0.0014700314776643678","0.1498189000653755","0.0064267767987229935","0.01263056392846133","1.574419421731911","0.640046914823235"
"15 繊維製品","0.011487264330236262","0.009759297011616205","0.007092703267987193","1.3031636373794717","0.010879336145551895","0.005367941437252747","0.006856950283136936","0.01006764787051979","0.006041359180364606","0.004637966464370616","0.007689521713865172","0.004921318531853585","0.00631682696124472","0.004835261824404793","0.005641016670687918","0.010187626204142406","0.008490009448463098","0.007792716603284295","0.008414340225520062","0.009513673717844843","0.006880486295654706","0.006533842547839444","0.004381423207014686","0.004619366563719187","0.007206970320802811","0.003965542856943518","0.0009853397637902821","0.005820764935605688","0.00319816956618337","0.006964473776689667","0.0021795569287770458","0.006893527006118739","0.03195232940605773","0.005555426067657484","0.008255241123930975","0.029955648058128212","0.019777865912223278","1.6042823896089558","0.6521870727718343"
"16 パルプ・紙・木製品","0.06757022425797808","0.013047851073330044","0.053377594805416054","0.02955564923152564","1.4092759592301345","0.052215104937924056","0.009794251876126151","0.03377581318811846","0.02030949457643632","0.010725592602340444","0.028946884943202814","0.013414989497960923","0.017615821711215937","0.013146786519204827","0.019782437899664447","0.029233172725504002","0.029134948101040666","0.020632228743236777","0.019943100774345877","0.09731142416326673","0.06203431451728673","0.013852119560135738","0.015486640811911147","0.01329309504187487","0.01811211499630294","0.015215630912437932","0.005080137771269319","0.013304200374670694","0.02141386865617231","0.010168128589734362","0.015411405507036803","0.021368424817828878","0.03640898420029156","0.014646485709212159","0.02299917460457864","0.6252398340859213","0.034630908639618804","2.9474747996542567","1.1982335367552222"
"20 化学製品","0.14598503330699783","0.03936012374890278","0.08449252198035422","0.33248140369372875","0.09878583479611247","1.6514813262172556","0.029218371040685066","0.43472017842626937","0.04928367434476983","0.027110708402386902","0.08661199893802027","0.0461676975100692","0.06105742256889728","0.041130163499435116","0.06325386279103115","0.06012462779984073","0.12626425118118428","0.045963695102002565","0.09146835131413869","0.09321638854077434","0.0376415941174526","0.029600566597977312","0.05776219050145658","0.04327296162630171","0.014349345700203842","0.012675001544198304","0.005134528262238898","0.018709420608284906","0.016447767301571683","0.014357589711862124","0.020499471831284935","0.17679927523995215","0.028093062826199295","0.03790761816004884","0.033687848165000304","0.11693114302055484","0.17230869266331475","4.444355713080758","1.806758811070313"
"21 石油・石炭製品","0.07432483995617836","0.13136444432386846","0.05079564612335332","0.0824166811959241","0.04995916187732355","0.20479795268269746","1.1548741549789665","0.0768739150950097","0.08237434107613777","0.18283213967789388","0.05162183724319594","0.09077941930418139","0.04951863097045","0.05217798332044822","0.04193639156212405","0.04497579330171032","0.05309643524568932","0.03322971617585434","0.06778910643149218","0.07139058940077349","0.06632136456682772","0.16637684225491903","0.060143268403761795","0.046790520671446935","0.02957482201857599","0.017820941345338816","0.008124480936810643","0.19312240058531965","0.021187874630897347","0.02944915179905943","0.023553818896841543","0.03981051716292097","0.027897947532303635","0.027501224944636866","0.03779383838257695","0.05940594832162269","0.23403067279617648","3.7360348151933103","1.5188059319709333"
"22 プラスチック・ゴム","0.030342452442086172","0.016459475089732046","0.06880910626106729","0.03174930247894029","0.037843324012866386","0.06696568503914185","0.012296775057962691","1.2883148533996165","0.01727612034386172","0.013280515906751786","0.043960750002709666","0.01613349588345638","0.055782118556476565","0.04582517680333305","0.07074236440927478","0.04026718508937696","0.10913166514293288","0.05391636824886318","0.051056788132238254","0.07745024359264872","0.030340025616416338","0.01548169993982572","0.05975378313983353","0.022950629610460346","0.016135225075760914","0.013775490978670934","0.004780326919142222","0.016318033366217743","0.013275395440364957","0.011510924050595386","0.011980373140191411","0.017293780370743198","0.02096765488341802","0.04154681428129726","0.019799010369153474","0.10103270437727237","0.03803409025481474","2.602579727707516","1.0580237402485086"
"25 窯業・土石製品","0.006014969507714717","0.003182064595102372","0.007051749765037856","0.004656451247727283","0.014639779689259806","0.010811772142477147","0.002458890179652713","0.010859415350381403","1.1105365219810872","0.010869273955167671","0.014487253998706958","0.011296765337618682","0.017317515018323026","0.015614642013314504","0.11249462805480893","0.10514655839640162","0.03633869428124663","0.03720071451663152","0.010987869137183788","0.012079112414775908","0.06664565522984858","0.004834340669265745","0.011362866649187115","0.0027557875823800114","0.0026968447366639654","0.002367507974924083","0.0028514178326025288","0.0035064350761347847","0.0032819910422798478","0.004019744087439506","0.004427798252543883","0.005012792933590209","0.003198164781938404","0.009877932417258544","0.004416534968407773","0.021458296299372896","0.016437628630046233","1.7231963807465036","0.7005290406784427"
"26 鉄鋼","0.02853035173028279","0.04928350056926761","0.04133808935068991","0.020358338728430327","0.054156583823231956","0.03480395087472755","0.035172576089808144","0.040468849363151545","0.06615180702349162","2.252852069658499","0.03527270044469477","0.820248712169091","0.26004966447774513","0.3471901907335596","0.08137369317867202","0.08730433857480054","0.1348089928163324","0.08396720012763047","0.44995700782780534","0.04192337869030649","0.15141660660931544","0.040372526214775176","0.036828984950839326","0.012500942604833448","0.02003530225898458","0.01623157136741755","0.012530282516012957","0.030111312340371","0.023490160512363585","0.020302033366765743","0.017941451859897","0.016475972912905743","0.018613796327275597","0.06209054966005864","0.018738442003732078","0.0439943092892301","0.6961700699966502","6.203056311043646","2.521721340296276"
