"""","家計外消費支出(列)","民間消費支出","一般政府消費支出","県内総固定資本形成公的","県内総固定資本形成民間","在庫純増","調整項","移輸出","平均"
"01 農林水産業","0.005252084076747046","0.004456112421265993","5.600098213527488E-4","5.010007433561281E-4","0.0014676938841252853","0.009254025720361055","0.0033787121092210093","0.0250809969582818","0.012520871804947572"
"06 鉱業","5.014428875815507E-6","1.0020259580230356E-5","4.071134796662729E-6","9.491920253813408E-6","5.2110377528664185E-6","1.7413138030577803E-4","8.935996015612444E-5","3.2214633466563216E-4","1.4404151428064056E-4"
"11 飲食料品","0.009510790803391575","0.008417535268993196","6.257681623866176E-4","2.105766831871361E-5","2.193378440621768E-5","0.002491312223512682","0.0033362618345197208","0.01691356018100678","0.010193622119722507"
"15 繊維製品","2.520443160517001E-4","3.615633991468966E-4","8.587974491377529E-5","7.230946160268187E-5","1.8255649708930917E-4","-1.5611889398773284E-4","0.02810664104631317","0.007452208838513735","0.0033712347832459515"
"16 パルプ・紙・木製品","0.0012784689237397735","7.078512754492468E-4","8.316953031133171E-4","0.003916448132685473","0.0025005175069828423","-1.5438436138308243E-4","0.0025275161414054165","0.00751050951555333","0.003862744862677263"
"20 化学製品","0.001354454862674949","0.0010797713316368892","0.003241249562889384","4.6544402346969935E-4","3.0527215355944515E-4","0.005993023439240041","0.08058379097575405","0.031148363122339047","0.014287117697711202"
"21 石油・石炭製品","0.001789555360246178","0.00475746977724398","0.001534040263138044","0.003520491843631698","0.001944725018220994","0.0366895775093056","0.03770660154134046","0.07220764545866352","0.03328559325835174"
"22 プラスチック・ゴム","2.516535062546285E-4","2.7800440046125985E-4","1.6869957232340567E-4","5.164534523253187E-4","3.279673990310118E-4","-4.8820629659980297E-4","0.008382756655306654","0.005831031019191655","0.0026533963156960385"
"25 窯業・土石製品","3.458936941490414E-4","2.475461330705094E-4","2.442581198344898E-4","0.007215111666505218","0.003548171036273914","-0.0012053083789622331","0.004758175364747751","0.004239889432353061","0.002405272172127083"
"26 鉄鋼","4.665805661366616E-4","6.54746129014626E-4","7.041273961862172E-4","0.009845156960141502","0.005004088773332555","0.08875602418544898","0.052701006873367075","0.079495613997725","0.03591861528090941"
"27 非鉄金属","6.825936197717672E-6","1.2014599253141526E-5","1.1033412584930487E-5","8.260658760293318E-5","5.203692136548861E-5","-1.5600280062340213E-4","0.009448469740625647","0.003144596776510178","0.001368078505152327"
"28 金属製品","1.7449592012257765E-4","1.2006106764505444E-4","9.272764048731132E-5","0.0023351121929897113","0.001307197640833872","-1.7976010547282524E-4","0.003572178536912681","0.007181449858407309","0.0032932122963439353"
"29 はん用機械","3.1834975059789475E-5","5.614459465611006E-5","4.872704109875913E-5","7.89421149501547E-4","0.0047179196680035935","0.0023990440942669934","0.03143023487302453","0.02965773524937225","0.01313146883807145"
"30 生産用機械","2.583336964800377E-5","3.804456951506657E-5","3.9351498334090346E-5","2.3967977583297907E-4","0.004159595706668882","-3.6345580692944584E-4","0.031504196355264365","0.010742311830428576","0.004954901739048581"
