"""","家計外消費支出(列)","民間消費支出","一般政府消費支出","県内総固定資本形成公的","県内総固定資本形成民間","在庫純増","調整項","移輸出","合計"
"01 農林水産業","1172.0426475306458","22913.8232107306","1070.8055478923552","255.6677483155426","1657.3108842445818","1472.743375917713","21.252173548883707","23984.354411819688","52548.000000000015"
"06 鉱業","1125.1233778902158","51806.86580282431","7827.036860456226","4870.332200817998","5916.428840508462","27863.80013367835","1126.854189580255","587486.5585942445","688023.0000000003"
"11 飲食料品","8744.148867841108","178326.3549096044","4929.667198491395","44.27280369836568","102.04018492186759","1633.479555710074","64.98410961241358","32706.052370120407","226551.00000000006"
"15 繊維製品","893.1448248068385","29522.906621480113","2607.5878447473574","585.9572571286725","3273.3996003003513","-394.53458071908244","175.11656806134897","17071.421864194403","53734.99999999999"
"16 パルプ・紙・木製品","809.5206260708514","10327.838446851938","4512.375324640518","5670.9517673852815","8011.694774419074","-69.7149113272255","88.42089199580087","28781.913079963742","58132.99999999998"
"20 化学製品","1573.0010329802174","28895.21549999554","32253.74635145986","1236.1118236499606","1793.9420694924745","4963.580596628275","1169.044551262449","144305.3580745313","216190.0000000001"
"21 石油・石炭製品","794.4129778166647","48663.8992708579","5835.004224681862","3573.801001585628","4368.337116753645","11615.249257381682","350.59108460297983","100518.70506631967","175720.00000000003"
"22 プラスチック・ゴム","556.0930899035553","14155.520959168907","3194.1971533034416","2609.765760386915","3667.177585027524","-769.3651673752339","221.27850469069332","40296.33211489418","63930.999999999985"
"25 窯業・土石製品","154.68058313668678","2550.815085204","935.9343565831224","7378.397429105505","8028.870543464407","-384.3934356069626","49.009452091070656","10166.685986022176","28880.000000000007"
"26 鉄鋼","36.1991429598791","1170.5076494571458","468.08649235811015","1746.7072322269255","1964.506188447325","4910.821101529393","236.58265025110248","96461.58954277022","106995.0000000001"
"27 非鉄金属","69.71355316755226","2827.443644079208","965.5351224544839","1929.281089542682","2689.2014798719583","-1136.2450904659959","402.49905627218305","51039.57114507796","58787.00000000004"
